ts_code,name,year,core_profit,core_profit_margin,core_profit_yoy_growth
600519,贵州茅台,2022,8445726.15,68.05589671656979,17.978053650009386
600519,贵州茅台,2023,10084628.42,68.28073851816485,19.405107908512047
600519,贵州茅台,2024,11648040.270396996,68.1573905736079,15.50291970458488
600702,舍得酒业,2013,4017.7820949999914,2.832232819041871,
600702,舍得酒业,2014,1449.620514,1.003209208260508,-63.91988217
600702,舍得酒业,2015,1234.1085720000058,1.067443255815154,-14.8667834
600702,舍得酒业,2016,21210.657531999994,14.512117258889907,1618.7027149180108
600702,舍得酒业,2017,21890.383837999998,13.360502915946986,3.204645141125493
600702,舍得酒业,2018,40722.521600000015,18.40732461280065,86.02927158046857
600702,舍得酒业,2019,71000.26269100003,26.79131021864164,74.35134147242984
600702,舍得酒业,2020,76195.68181299997,28.182317673212427,7.317464647435047
600702,舍得酒业,2021,164473.96965699995,33.09823916863418,115.85733698223638
600702,舍得酒业,2022,216458.17218100003,35.745563065274496,31.606340281328322
600702,舍得酒业,2023,225458.44046700007,31.840110362342667,4.157971119923384
600702,舍得酒业,2024,57759.15259299996,10.781856908285052,-74.38146362
600779,水井坊,2013,-28360.79752,-58.38602555,
600779,水井坊,2014,-24551.93985,-67.28982995,13.430009007981871
600779,水井坊,2015,17085.796525000005,19.98649267939578,169.59041373757844
600779,水井坊,2016,31637.69092800002,26.89424191339283,85.16954056960485
600779,水井坊,2017,55296.502917000005,26.995231854283436,74.78046372866434
600779,水井坊,2018,76966.42126999996,27.302132914558676,39.188587360626556
600779,水井坊,2019,107719.02548099999,30.44032601133473,39.95587127939753
600779,水井坊,2020,96325.67944799995,32.04753443964916,-10.57691154
600779,水井坊,2021,166295.6946,35.902560848680096,72.63900500880699
600779,水井坊,2022,157489.43619100004,33.703892705278804,-5.295542016
600779,水井坊,2023,166026.58216799996,33.51907022085927,5.4207737251952866
600779,水井坊,2024,176805.52608799996,33.89180258172738,6.492300075835413
600809,山西汾酒,2013,149248.5251230001,24.5184200284971,
600809,山西汾酒,2014,50786.24866200003,12.968686154478332,-65.97202644
600809,山西汾酒,2015,77659.05387,18.810210567511792,52.91354632205212
