ts_code,name,year,money_cap_ratio,debt_cap_ratio,net_profit_growth,ocf_growth,related_receivable_ratio,restricted_money_ratio,guarantee_ratio
600809.SH,山西汾酒,2017,13.67275424301439,,56.01739014136322,52.998521795055254,0.7155174512628063,0,
600809.SH,山西汾酒,2018,10.957057985285175,,55.3575924354907,7.7493183636947585,0.5290428712122648,0,
600809.SH,山西汾酒,2018,10.957057985285175,,55.3575924354907,7.7493183636947585,0.5290428712122648,0,
600809.SH,山西汾酒,2019,24.66801125018145,,32.16478392754708,218.50962304627538,0.45565072221305947,0,
600809.SH,山西汾酒,2019,24.66801125018145,,32.16478392754708,218.50962304627538,0.45565072221305947,0,
600809.SH,山西汾酒,2020,23.29148272604424,,58.845758972978004,-34.67293899,1.3987369149270978,0,
600809.SH,山西汾酒,2020,23.29148272604424,,58.845758972978004,-34.67293899,1.3987369149270978,0,
600809.SH,山西汾酒,2021,20.517084248123123,,72.56280425748939,280.38747459799276,0.6584191162325109,0,
600809.SH,山西汾酒,2022,30.532285428462412,,52.36060289350153,34.860199726354345,0.14826711108387333,0,
600809.SH,山西汾酒,2022,30.532285428462412,,52.36060289350153,34.860199726354345,0.14826711108387333,0,
600809.SH,山西汾酒,2023,8.560321249347277,,28.931646826313727,-29.92298236,0.12877973656208727,0,
600809.SH,山西汾酒,2023,8.560321249347277,,28.931646826313727,-29.92298236,0.12877973656208727,0,
000858.SZ,五粮液,2015,50.19196797353285,,5.84762521696777,742.1039204277258,0.043829601512584845,0,
000858.SZ,五粮液,2015,50.19196797353285,,5.84762521696777,742.1039204277258,0.043829601512584845,0,
000858.SZ,五粮液,2016,55.7559287512637,,9.851072800629668,74.81155150332657,0.03896407181187735,0,
000858.SZ,五粮液,2016,55.7559287512637,,9.851072800629668,74.81155150332657,0.03896407181187735,0,
000858.SZ,五粮液,2017,57.23392562609786,,42.58492260139196,-16.50529422,0.0386494033700385,0,
000858.SZ,五粮液,2017,57.23392562609786,,42.58492260139196,-16.50529422,0.0386494033700385,0,
000858.SZ,五粮液,2018,56.86795570071561,,38.35675015204439,26.12264266552123,0.04742284087895159,0,
000858.SZ,五粮液,2018,56.86795570071561,,38.35675015204439,26.12264266552123,0.04742284087895159,0,
000858.SZ,五粮液,2019,59.436677883533726,,30.01975084248289,87.63821023,0.043851630297989885,0,
000858.SZ,五粮液,2019,59.436677883533726,,30.01975084248289,87.63821023,0.043851630297989885,0,
000858.SZ,五粮液,2020,59.889100970685526,,14.668551431110998,-36.40411138,0.04124923697091899,0,
