ts_code,name,year,industry_barrier,excess_gross_margin,anomaly,rd_intensity,core_profit_margin,rd_exp
2304,洋河股份,2016,0.9772309779979738,-7.063004643,,0,42.06499109196948,0
2304,洋河股份,2017,0.873180553992631,-6.438422416,,0,41.1651006120572,0
2304,洋河股份,2018,0.826996505406882,-0.664563154,,0.11409537890958198,40.71267525464784,2756.521763
2304,洋河股份,2019,0.7579063390590954,-4.857455607,,0.6916989331122668,37.48471032038809,15996.55939
2304,洋河股份,2020,0.6760344023550496,-2.958191392,,1.232612960382641,34.72697560862404,26009.4291
2304,洋河股份,2021,0.7407951560817625,-0.028598912,,1.0195514230713294,38.315473810495575,25845.81026
2304,洋河股份,2022,0.7691866574618064,-2.562179094,,0.8423047693467869,40.98712537155762,25357.49764
2304,洋河股份,2023,0.7247402205038734,-3.095011172,,0.8596012059701165,39.168848721937216,28475.38813
2304,洋河股份,2024,0.6011183060552583,-3.045448719,,0.3629149793056045,32.42838382666721,10479.64073
600519,贵州茅台,2013,1.4528985686270843,22.972336324395044,,0,70.09078747768467,0
600519,贵州茅台,2014,1.5369548102485993,25.004302784527738,,0,68.14584171768703,0
600519,贵州茅台,2015,1.491395056091288,22.39522699062975,,0,65.65156808105084,0
600519,贵州茅台,2016,1.3813803001678138,20.261411807552193,,0,59.46163325708827,0
600519,贵州茅台,2017,1.319759835414643,16.901141231330968,,0,62.21857113077019,0
600519,贵州茅台,2018,1.3222002404132405,16.77419751806265,,0.02981252322051784,65.09133794111631,2195.360593
600519,贵州茅台,2019,1.3197765677798834,15.09801522023568,,0.05699295814558605,65.27382049908884,4868.884105
600519,贵州茅台,2020,1.3069263875365542,16.183760544006276,,0.053097860265736305,67.13504612212438,5039.803633
600519,贵州茅台,2021,1.3033931907009557,16.187643395041405,,0.05831351661659129,67.41422004866456,6192.3213590000005
600519,贵州茅台,2022,1.277173923309833,14.700787436348136,,0.10893299805306614,68.05589671656979,13518.56804
600519,贵州茅台,2023,1.2633967835288125,13.62442872233403,,0.10655293640929409,68.28073851816485,15737.1873
600519,贵州茅台,2024,1.263419582848959,15.72860846012459,,0.12778031368867873,68.1573905736079,21837.54729
600702,舍得酒业,2013,0.058708814052270325,-9.524286409,,0,2.832232819041871,0
600702,舍得酒业,2014,0.022626284736629566,-16.93047854,,0,1.003209208260508,0
600702,舍得酒业,2015,0.02424891957516252,-19.3957217,,0,1.067443255815154,0
600702,舍得酒业,2016,0.3371376095318762,-6.80613301,,0,14.512117258889909,0
600702,舍得酒业,2017,0.2833985867715761,1.7212776339063112,,0,13.360502915946986,0
600702,舍得酒业,2018,0.373907954548832,-1.742485202,,0.39325539539642984,18.40732461280065,869.998855
600702,舍得酒业,2019,0.5416956319751276,0,,0.3166873853541816,26.79131021864164,839.260468
600702,舍得酒业,2020,0.5486287230972949,0.6405370383489242,,0.7719056321219685,28.182317673212427,2086.977963
600702,舍得酒业,2021,0.6399246260721817,2.461426499436058,,0.6541721356227471,33.09823916863418,3250.75565
600702,舍得酒业,2022,0.6708206521931013,0.5572950927983271,,1.259110742634646,35.745563065274496,7624.577334
